# Kurmangaliyev, Yoo, Valdes-Aleman, Sanfilippo & Zipursky 2020 Neuron 108:1045-1057 (doi:10.1016/j.neuron.2020.10.006),
# pupal optic-lobe scRNA-seq clusters (GEO GSE156455, metadata_main `type` / `subtype` columns) -> MaleCNS v1.0 cell types
# (cache/neurons.parquet). Built by scripts/build_kurmangaliyev2020_tables.py; provenance and coverage in
# docs/audits/receptor_sources_profiles.md. Cluster unit = `subtype` (196 labels) + the parent pools T4.T5 / Dm3 / Tm9.
# tier: exact = author annotation is the MaleCNS type name; alias = documented renaming (R1.6 -> R1-R6, Lpi3.4 -> LPi34);
# fuzzy = name collision / bridge not verifiable (Tm29, Pm3); class = cluster pools several MaleCNS types or subdivides one;
# unmatched = no evidenced MaleCNS type (N## unannotated neurons, G## glia, C## central brain, R184).
# n_cells_source = cells of the cluster in the main dataset (all timepoints 24-96 h APF); n_cells_malecns = cells of the type in MaleCNS.
source_name,malecns_type,tier,evidence,n_cells_malecns,source_cluster,n_cells_source,malecns_superclass,malecns_nt
C2,C2,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1745,C2,2624,ol_intrinsic,gaba
C3,C3,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1779,C3,2816,ol_intrinsic,gaba
Dm1,Dm1,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",80,Dm1,126,ol_intrinsic,glutamate
Dm10,Dm10,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",626,Dm10,1494,ol_intrinsic,gaba
Dm11,Dm11,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here); Nern 2025 Sup_Table_7: Schlegel Dm11 = MaleCNS Dm11 (158 cells) + Dm-DRA2 (33 cells); minor split not resolved here",158,Dm11,369,ol_intrinsic,glutamate
Dm12,Dm12,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",276,Dm12,573,ol_intrinsic,glutamate
Dm2,Dm2,exact,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here)",1452,Dm2,2879,ol_intrinsic,acetylcholine
Dm3a,Dm3a,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; the authors' a / b letters (two arbor orientations) and the MaleCNS a / b / c letters are independent labellings, not shown to correspond -> mapped to the Dm3 family (same treatment as Ozel 2021 clusters 225 / 226)",1204,Dm3a,2953,ol_intrinsic,glutamate
Dm3a,Dm3b,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; the authors' a / b letters (two arbor orientations) and the MaleCNS a / b / c letters are independent labellings, not shown to correspond -> mapped to the Dm3 family (same treatment as Ozel 2021 clusters 225 / 226)",1137,Dm3a,2953,ol_intrinsic,glutamate
Dm3a,Dm3c,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; the authors' a / b letters (two arbor orientations) and the MaleCNS a / b / c letters are independent labellings, not shown to correspond -> mapped to the Dm3 family (same treatment as Ozel 2021 clusters 225 / 226)",787,Dm3a,2953,ol_intrinsic,glutamate
Dm3b,Dm3a,class,"GSE156455_metadata_main.tsv.gz `type` column (authors' cluster annotation; Kurmangaliyev 2020 STAR Methods, annotation by known marker genes / driver-line transcriptomes of Konstantinides 2018 and Davis 2020 -- the article is paywalled, the method statement is not verified here) `subtype`; as Dm3a: letter not transferable, mapped to the Dm3 family",1204,Dm3b,2835,ol_intrinsic,glutamate
