# nt_by_type_transcriptome.csv -- transmitter identity per MaleCNS v1.0 type from synthesis / transport genes, built by
# scripts/build_receptor_table.py from the per-source tables in flyverse/data/ (Özel 2021 GSE142787; Davis 2020 GSE116969;
# Davie 2018 GSE107451; Fly Cell Atlas 2022 head; Nern 2025 Sup. Table 1) and cache/neurons.parquet. Rules and thresholds:
# docs/audits/receptor_rules.md section 2; disagreements: docs/audits/receptor_nt_disagreements.md.
# nt_transcriptome: acetylcholine = ChAT|VAChT on; gaba = Gad1 on (VGAT unused: 60-586 TPM with P(on) = 1 in every non-photoreceptor
# neuronal QC-pass Davis row); glutamate = VGlut;
# histamine = Hdc; dopamine = ple&DAT; octopamine = Tdc2&Tbh; serotonin = Trh&SerT ('on' = source mixture-model P(on) >= 0.5
# [ozel2021], P(on) >= 0.5 & TPM >= 10 [davis2020], fraction of cells >= 0.2 [davie2018 / fca2022 / kurmangaliyev2020 96 h APF]);
# primary = highest classical
# marker level (expm1-linearised for the 10x sources), monoamines only when no classical marker is on; majority over sources
# (circular NT-class selections excluded; mixed pools never outvote per-type rows); none = no marker on.
# confidence: high = exact/alias tier and >= 2 sources agree; medium = exact/alias single source or >= 2 fuzzy/class; low = single
# fuzzy/class, suboptimal driver, mixed pool (pool_mixed: member types' majority model label < 90 % of pool cells; pool_labels
# lists them), weak marker (marker_rank < 0.25 = quantile of the marker level among the source's on-profiles) or disagreement.
# malecns_consensus = mode of the model nt over the type's cells (share given); nern2025_prediction = Nern 2025; agreement = joint
# flag; out_syn_raw = uncapped raw output synapses on the node set (-1 if the raw weights were unavailable); out_syn_W = |W|
# (sign-0 cells contribute 0).
malecns_type,n_cells,superclass,out_syn_W,out_syn_raw,nt_transcriptome,nt_secondary,co_monoamine,confidence,tier,source,source_name,qc,marker_rank,pool_mixed,pool_labels,sources_agreeing,sources_disagreeing,n_sources,malecns_consensus,malecns_consensus_share,n_unknown_cells,nern2025_prediction,nern2025_validated,agree_model,agree_nern,agreement,model_sign,transcriptome_sign,marker_scores
5thsLNv_LNd6,4,visual_projection,5665,5665,glutamate,,,low,class,davie2018,Clock,pass,0.667,True,acetylcholine:28;glutamate:16;serotonin:8,davie2018,,1,acetylcholine,1.0,0,acetylcholine,acetylcholine,False,False,pool_mixed_not_evaluable,1,-1,acetylcholine=2.01*;gaba=0.113;glutamate=6.6*;histamine=0;dopamine=0.0475;octopamine=0.00995;serotonin=0.00441
C2,1745,ol_intrinsic,230044,230044,gaba,,,high,exact,davis2020,C2,pass,0.815,False,,davie2018;davis2020;fca2022;kurmangaliyev2020;ozel2021,,5,gaba,1.0,0,gaba,gaba,True,True,all_agree,-1,-1,acetylcholine=12.6;gaba=1.51e+03*;glutamate=4.5;histamine=2.56;dopamine=3.68;octopamine=6.03;serotonin=1.47
C3,1779,ol_intrinsic,539977,539977,gaba,,,high,exact,davis2020,C3,pass,0.926,False,,davie2018;davis2020;fca2022;kurmangaliyev2020;ozel2021,,5,gaba,1.0,0,gaba,gaba,True,True,all_agree,-1,-1,acetylcholine=6.46;gaba=2.15e+03*;glutamate=4.03;histamine=0.89;dopamine=0.55;octopamine=6.26;serotonin=0.42
CB0650,4,cb_intrinsic,4326,4326,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,glutamate,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB1296_a,5,cb_intrinsic,2165,2165,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB2004,6,cb_intrinsic,5241,5241,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB2561,2,cb_intrinsic,593,593,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB2589,6,cb_intrinsic,1982,1982,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB2703,6,cb_intrinsic,1630,1630,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
CB2711,4,cb_intrinsic,1232,1232,acetylcholine,,,low,class,fca2022,antennal lobe projection neuron,pass,0.974,True,acetylcholine:465;gaba:209;glutamate:8,fca2022,,1,gaba,1.0,0,,,False,,pool_mixed_not_evaluable,-1,1,acetylcholine=4.31*;gaba=0.0845;glutamate=0;histamine=0;dopamine=0;octopamine=0.0506;serotonin=0
