# Type map: Nern et al. 2025 optic-lobe inventory -> MaleCNS v1.0 type names. Built by scripts/build_type_map_nern2025.py.
# Source: Nern A, Loesche F, Takemura S-y, et al. (2025) Connectome-driven neural inventory of a complete visual system. Nature 641, 1225-1237. doi:10.1038/s41586-025-08746-0 (CC BY 4.0); Supplementary Tables 1, 5, 7 (MOESM4 zip), hashes in docs/audits/receptor_sources_nern2025.md.
# tier: exact = identical type name in both inventories; class = MaleCNS '<prefix>_unclear' bin whose Nern subtypes all carry one prediction;
#       unmatched = MaleCNS optic-lobe-superclass type with no Nern counterpart (evidence says why). No alias / fuzzy rows were needed: all 732 Nern names are MaleCNS names.
# nern_nt: Sup_Table_1 'predicted neurotransmitter' (EM synapse classifier trained on 59 optic-lobe types; 'unclear' = low confidence, not independently confirmed).
# fw_nt: Sup_Table_7 FlyWire prediction for the matched FlyWire type (Eckstein et al. 2024 classifier, female brain). validated_*: Sup_Table_5 experimental transmitter
#       (FISH / bulk RNA-seq / antibody); validated_in_training = yes means the type was classifier ground truth, so it is not an independent check of nern_nt.
# malecns_*: from cache/neurons.parquet (model nt after the AL-LN override; mode over the type's cells, share of cells with that mode, cells with nt = unknown);
# out_syn_W = sum |c.W| over the type's output edges (sign-0 edges are zero); out_syn_raw = uncapped MaleCNS synapse count on the model's node set.
# NT vocabulary: acetylcholine gaba glutamate histamine dopamine octopamine serotonin unclear; 'a+b' = source lists two.
source_name,malecns_type,tier,evidence,n_cells_malecns,nern_main_group,nern_n_cells_R,nern_n_cells_L,nern_nt,fw_nt,t7_matched_as,validated_nt,validated_method,validated_reference,validated_in_training,malecns_superclass,malecns_nt,malecns_nt_share,malecns_n_unknown_nt,out_syn_W,out_syn_raw
5-HTPMPV03,5-HTPMPV03,exact,"identical name; Sup_Table_1 row 2 (instance 5-HTPMPV03_R, 1 cells, VCN)",2,VCN,1,1,serotonin,dopamine,1-to-1,serotonin,antibody staining of genetically marked cells,Pooryasin and Fiala 2015,yes,visual_centrifugal,serotonin,1.0,0,0,33975.0
5thsLNv_LNd6,5thsLNv_LNd6,exact,"identical name; Sup_Table_1 row 3 (instance 5thsLNv_LNd6_R, 2 cells, VPN)",4,VPN,2,0,acetylcholine,glutamate,1-to-2,acetylcholine,antibody staining,Johard et al 2009,no,visual_projection,acetylcholine,1.0,0,5665,5665.0
Am1,Am1,exact,"identical name; Sup_Table_1 row 4 (instance Am1_R, 1 cells, ONCN)",2,ONCN,1,0,gaba,gaba,1-to-1,,,,,ol_intrinsic,gaba,1.0,0,92310,92310.0
aMe_TBD1,aMe_TBD1,exact,"identical name; Sup_Table_1 row 5 (instance aMe_TBD1_R, 1 cells, other)",2,other,1,0,unclear,glutamate,1-to-1,,,,,cb_intrinsic,gaba,1.0,0,18252,18252.0
aMe1,aMe1,exact,"identical name; Sup_Table_1 row 6 (instance aMe1_R, 2 cells, VPN)",4,VPN,2,0,gaba,gaba,1-to-1,,,,,visual_projection,gaba,1.0,0,5199,5199.0
aMe2,aMe2,exact,"identical name; Sup_Table_1 row 7 (instance aMe2_R, 4 cells, VCN)",8,VCN,4,0,glutamate,glutamate,1-to-1,,,,,visual_centrifugal,glutamate,1.0,0,7053,7053.0
aMe3,aMe3,exact,"identical name; Sup_Table_1 row 8 (instance aMe3_R, 1 cells, VPN)",2,VPN,1,0,glutamate,unclear,1-to-1,,,,,visual_projection,glutamate,1.0,0,10265,10265.0
aMe4,aMe4,exact,"identical name; Sup_Table_1 row 9 (instance aMe4_R, 9 cells, VCN)",19,VCN,9,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_centrifugal,acetylcholine,1.0,0,47463,47463.0
aMe5,aMe5,exact,"identical name; Sup_Table_1 row 10 (instance aMe5_R, 17 cells, VPN)",42,VPN,17,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,19613,19613.0
aMe6a,aMe6a,exact,"identical name; Sup_Table_1 row 11 (instance aMe6a_R, 1 cells, VPN)",2,VPN,1,0,acetylcholine,acetylcholine,1-to-1,,,,,visual_projection,acetylcholine,1.0,0,2587,2587.0
aMe6b,aMe6b,exact,"identical name; Sup_Table_1 row 12 (instance aMe6b_R, 1 cells, ONIN)",2,ONIN,1,0,acetylcholine,,unmatched,,,,,ol_intrinsic,acetylcholine,1.0,0,3126,3126.0
aMe6c,aMe6c,exact,"identical name; Sup_Table_1 row 13 (instance aMe6c_R, 1 cells, ONCN)",3,ONCN,1,0,glutamate,,unmatched,,,,,ol_intrinsic,glutamate,1.0,0,3264,3264.0
